Course_Code,Course_Title,L-T-P-S-C,Faculty,Semester_Half,Elective,Students,basket
DS302,Computer Communication Networks,3-1-2-0-5,Dr. Shirshendu L,0,0,74,0
DS303,Algorithms and Artificial Intelligence,3-1-0-0-4,Dr. Animesh Chaturvedi,0,0,74,0
CS307,Machine Learning,3-0-2-0-4,Dr. Siddharth R,0,0,228,0
CS463,Parallel computing,3-0-2-0-4,Dr. Pramod Yelmewad,0,1,4,1
CS308,Compiler Design, 3-1-0-0-4,Dr. Pavan Kumar C,0,1,10,1
DS301,Graphs and Social Network,3-1-0-0-4,Dr. Utkarsh Khaire,0,1,6,1
CS366,Advanced Algorithm Design,3-1-0-0-4,Dr. Suvadip Hazra,0,1,54,1
DS359,Full Stack Development,3-0-2-0-4,Dr. Manjunath KV,0,1,19,2
EC355,Internet of Things,3-0-2-0-4,Dr. Prakash Pawar,0,1,10,2
CS352,Cryptography & Information Security,3-1-0-0-4,Dr. Rajendra Hegadi,0,1,12,2
EC365,AI in Biomedical Signal Interpretation,3-0-2-0-4,Dr. Sibasankar Padhy,0,1,8,2
ASD352,User Interactions and Experience Design,3-0-2-0-4,Dr. Sandesh P,0,1,19,2
EC364,Semiconductor Device Modeling,3-1-0-0-4,Dr. Pankaj Kumar,0,1,6,2
