Course_Code,Course_Title,L-T-P-S-C,Faculty,Semester_Half,Elective,Students,basket
EC306,Digital Signal Processing,3-0-2-0-4,Dr. Sibasankar Padhy,0,0,55,0
EC301,Introduction to VLSI Design,3-1-0-0-4,Dr. Jagadish D N,0,0,55,0
EC351,Introduction to Algorithms,3-1-0-0-4,Dr. Jagadeesha Bhat,0,0,56,0
HS351,Happiness & Wellbeing,3-0-0-0-3,Dr. Chandrika K,0,0,55,0
CS463,Parallel computing,3-0-2-0-4,Dr. Pramod Yelmewad,0,1,8,1
CS308,Compiler Design, 3-1-0-0-4,Dr. Pavan Kumar C,0,1,5,1
DS301,Graphs and Social Network,3-1-0-0-4,Dr. Utkarsh Khaire,0,1,3,1
CS366,Advanced Algorithm Design,3-1-0-0-4,Dr. Suvadip Hazra,0,1,12,1
EC364,Semiconductor Device Modeling,3-1-0-0-4,Dr. Pankaj Kumar,0,1,27,1
DS359,Full Stack Development,3-0-2-0-4,Dr. Manjunath KV,0,1,21,2
EC355,Internet of Things,3-0-2-0-4,Dr. Prakash Pawar,0,1,5,2
CS352,Cryptography & Information Security,3-1-0-0-4,Dr. Rajendra Hegadi,0,1,6,2
ASD352,User Interactions and Experience Design,3-0-2-0-4,Dr. Sandesh P,0,1,19,2
EC365,AI in Biomedical Signal Interpretation,3-0-2-0-4,Dr. Sibasankar Padhy,0,1,4,2
