Course_Code,Course_Title,L-T-P-S-C,Faculty,Semester_Half,Elective,Students,basket
MA262,Multivariate Calculus,3-1-0-0-2,Dr. Somen B,1,0,86,0
MA261,Differential Equations,3-1-0-0-2,Dr. Anand Barangi,2,0,86,0
DA261,Statistical Programming,1-0-2-0-2,Dr. Ramesh Athe,1,0,86,0
DA262,Data Handling and Visualization,2-0-2-0-3,Dr. Siddharth,1,0,86,0
CS304,Artificial Intelligence,3-1-0-0-4,Dr. Animesh Chaturvedi,0,0,86,0
CS307,Machine Learning,3-2-0-0-4,Dr. Utkarsh Khaire,0,0,86,0
HSS/IE,Multiple Professors,1-0-0-0-1,Respective Faculty,1,1,86,1
EC251,Electronics System Design-I,3-1-0-0-2,Dr. Pankaj,1,1,75,1
EC252,Introduction of RFIC design,3-1-0-0-2,Dr. Rajesh Kumar,1,1,50,1
New,Introduction to Embedded Signal Intelligence,3-1-0-0-2,Dr. Sibasankar Padhy,2,1,15,1
NEW,Electronic Systems Engineering,3-1-0-0-2,Mr. Mallikarjun Kande,1,1,20,1
CS152,Data Science with Python,3-1-0-0-2,Dr. Abdul Wahid,1,1,60,1
EC253,2D Computer Graphics,3-1-0-0-2,Dr. Vivek VK,1,1,65,1
