Course_Code,Course_Title,L-T-P-S-C,Faculty,Semester_Half,Elective,Students,basket
CS309,Statistics for Computer Science,3-1-0-0-4,Dr. Sunil CK,0,0,69,0
CS303,Computer Networks,3-1-2-0-5,Dr. Animesh Roy,0,0,69,0
CS304,Artificial Intelligence,3-1-0-0-4,Dr. Krishnendu,0,0,56,0
HS101,Environmental Studies,0-0-0-8-2,Dr. Aswath Babu H,0,0,0,0
CS463,Parallel Computing,4-0-0-0-4,Dr. Pramod Yelmewad,0,1,6,1
CS308,Compiler Design,4-0-0-0-4,Dr. Pavan Kumar C,0,1,8,1
DS301,Graphs and Social Network,4-0-0-0-4,Dr. Utkarsh Khaire,0,1,5,1
CS366,Advanced Algorithm Design,4-0-0-0-4,Dr. Suvadip Hazra,0,1,50,1
DS359,Full Stack Development,4-0-0-0-4,Dr. Manjunath KV,0,1,16,2
EC355,Internet of Things,4-0-0-0-4,Dr. Prakash Pawar,0,1,10,2
CS352,Cryptography & Information Security,4-0-0-0-4,Dr. Rajendra Hegadi,0,1,11,2
EC365,AI in Biomedical Signal Interpretation,4-0-0-0-4,Dr. Sibasankar Padhy,0,1,7,2
ASD352,User Interactions and Experience Design,3-0-2-0-4,Dr. Sandesh P,0,1,22,2
EC364,Semiconductor Device Modeling,3-1-0-0-4,Dr. Pankaj Kumar,0,1,3,2
